period,date,home,away,home_score,away_score,home_odds,draw_odds,away_odds
0,2024-01-01,Man City,Arsenal,3,0,1.92,4.06,3.61
0,2024-01-01,Arsenal,Man City,1,3,2.38,3.71,2.82
0,2024-01-01,Man City,Liverpool,1,1,1.78,4.31,3.98
1,2024-01-08,Liverpool,Man City,5,0,2.59,3.68,2.59
1,2024-01-08,Man City,Spurs,1,0,1.59,4.90,4.74
1,2024-01-08,Spurs,Man City,1,3,3.00,3.76,2.25
2,2024-01-15,Man City,Everton,1,0,1.41,5.94,5.95
2,2024-01-15,Everton,Man City,1,1,3.61,4.06,1.92
2,2024-01-15,Man City,Luton,2,2,1.25,8.13,8.33
3,2024-01-22,Luton,Man City,2,3,4.74,4.90,1.59
3,2024-01-22,Arsenal,Liverpool,1,1,1.97,3.99,3.50
3,2024-01-22,Liverpool,Arsenal,0,3,2.31,3.73,2.91
4,2024-02-01,Arsenal,Spurs,3,1,1.74,4.41,4.12
4,2024-02-01,Spurs,Arsenal,1,1,2.66,3.68,2.51
4,2024-02-01,Arsenal,Everton,3,0,1.52,5.20,5.10
5,2024-02-08,Everton,Arsenal,4,0,3.18,3.83,2.13
5,2024-02-08,Arsenal,Luton,2,2,1.32,6.90,7.01
5,2024-02-08,Luton,Arsenal,1,1,4.12,4.41,1.74
6,2024-02-15,Liverpool,Spurs,3,1,1.87,4.14,3.73
6,2024-02-15,Spurs,Liverpool,1,0,2.44,3.69,2.74
6,2024-02-15,Liverpool,Everton,3,1,1.62,4.76,4.57
7,2024-02-22,Everton,Liverpool,2,3,2.91,3.73,2.31
7,2024-02-22,Liverpool,Luton,1,2,1.39,6.16,6.19
7,2024-02-22,Luton,Liverpool,2,3,3.73,4.14,1.87
8,2024-03-01,Spurs,Everton,1,1,1.82,4.22,3.85
8,2024-03-01,Everton,Spurs,2,1,2.51,3.68,2.66
8,2024-03-01,Spurs,Luton,4,3,1.52,5.20,5.10
9,2024-03-08,Luton,Spurs,3,2,3.18,3.83,2.13
9,2024-03-08,Everton,Luton,2,3,1.74,4.41,4.12
9,2024-03-08,Luton,Everton,1,0,2.66,3.68,2.51
