period,date,winner,loser,winner_odds,loser_odds,winner_score,loser_score
0,2023-08-11,Man City,Burnley,1.33,8,3,0
0,2023-08-12,Arsenal,Nott'm Forest,1.18,15,2,1
0,2023-08-12,Brighton,Luton,1.33,9,4,1
0,2023-08-12,Crystal Palace,Sheffield United,2.38,3,1,0
0,2023-08-12,Fulham,Everton,3.3,2.2,1,0
0,2023-08-12,Newcastle,Aston Villa,1.75,4.6,5,1
0,2023-08-14,Man United,Wolves,1.33,9,1,0
1,2023-08-18,Nott'm Forest,Sheffield United,1.95,4,2,1
1,2023-08-19,Brentford,Fulham,2.63,2.7,3,0
1,2023-08-19,Brighton,Wolves,1.85,4,4,1
1,2023-08-19,Liverpool,Bournemouth,1.2,13,3,1
1,2023-08-19,Man City,Newcastle,1.67,5,1,0
1,2023-08-19,Tottenham,Man United,2.8,2.38,2,0
1,2023-08-20,Aston Villa,Everton,1.7,4.5,4,0
1,2023-08-20,West Ham,Chelsea,3.75,2,3,1
1,2023-08-21,Arsenal,Crystal Palace,1.6,5.5,1,0
2,2023-08-25,Chelsea,Luton,1.29,11,3,0
2,2023-08-26,Man United,Nott'm Forest,1.3,8,3,2
2,2023-08-26,Tottenham,Bournemouth,1.91,3.8,2,0
2,2023-08-26,West Ham,Brighton,5.25,1.53,3,1
2,2023-08-26,Wolves,Everton,3.2,2.3,1,0
2,2023-08-27,Aston Villa,Burnley,2.15,3.4,3,1
2,2023-08-27,Liverpool,Newcastle,3,2.2,2,1
2,2023-08-27,Man City,Sheffield United,1.17,13,2,1
3,2023-09-01,West Ham,Luton,1.73,4.75,2,1
3,2023-09-02,Brighton,Newcastle,2.5,2.55,3,1
3,2023-09-02,Man City,Fulham,1.17,15,5,1
3,2023-09-02,Nott'm Forest,Chelsea,8.5,1.4,1,0
3,2023-09-02,Tottenham,Burnley,1.85,3.6,5,2
3,2023-09-03,Arsenal,Man United,1.75,4.5,3,1
3,2023-09-03,Crystal Palace,Wolves,1.91,4.33,3,2
3,2023-09-03,Liverpool,Aston Villa,1.65,4.5,3,0
5,2023-09-16,Aston Villa,Crystal Palace,1.91,4,3,1
5,2023-09-16,Brighton,Man United,2.88,2.15,3,1
5,2023-09-16,Fulham,Luton,1.67,5.5,1,0
5,2023-09-16,Liverpool,Wolves,1.45,6,3,1
5,2023-09-16,Man City,West Ham,1.45,7,3,1
5,2023-09-16,Newcastle,Brentford,1.53,6,1,0
5,2023-09-16,Tottenham,Sheffield United,1.29,11,2,1
5,2023-09-17,Arsenal,Everton,1.5,6,1,0
6,2023-09-23,Everton,Brentford,4.2,1.8,3,1
6,2023-09-23,Man City,Nott'm Forest,1.14,15,2,0
6,2023-09-23,Man United,Burnley,1.73,4.2,1,0
6,2023-09-24,Aston Villa,Chelsea,3.8,1.91,1,0
6,2023-09-24,Brighton,Bournemouth,1.36,7.5,3,1
6,2023-09-24,Liverpool,West Ham,1.4,7,3,1
6,2023-09-24,Newcastle,Sheffield United,1.44,7,8,0
7,2023-09-30,Arsenal,Bournemouth,1.53,5.5,4,0
7,2023-09-30,Aston Villa,Brighton,2.55,2.55,6,1
7,2023-09-30,Crystal Palace,Man United,5.75,1.55,1,0
7,2023-09-30,Luton,Everton,6.5,1.57,2,1
7,2023-09-30,Newcastle,Burnley,1.3,9,2,0
7,2023-09-30,Tottenham,Liverpool,2.9,2.15,2,1
7,2023-09-30,West Ham,Sheffield United,1.45,7,2,0
7,2023-09-30,Wolves,Man City,8,1.33,2,1
7,2023-10-02,Chelsea,Fulham,2.05,3.6,2,0
7,2023-10-03,Burnley,Luton,2.63,2.9,2,1
8,2023-10-07,Chelsea,Burnley,1.73,4.5,4,1
8,2023-10-07,Everton,Bournemouth,1.91,3.8,3,0
8,2023-10-07,Fulham,Sheffield United,1.62,6,3,1
8,2023-10-07,Man United,Brentford,1.67,4.75,2,1
8,2023-10-07,Tottenham,Luton,1.45,6,1,0
8,2023-10-08,Arsenal,Man City,2.9,2.4,1,0
10,2023-10-21,Brentford,Burnley,1.83,4.2,3,0
10,2023-10-21,Liverpool,Everton,1.33,7.5,2,0
10,2023-10-21,Man City,Brighton,1.4,6.5,2,1
10,2023-10-21,Man United,Sheffield United,1.4,6.5,2,1
10,2023-10-21,Newcastle,Crystal Palace,1.45,7,4,0
10,2023-10-21,Wolves,Bournemouth,3,2.38,2,1
10,2023-10-22,Aston Villa,West Ham,1.85,4,4,1
10,2023-10-23,Tottenham,Fulham,1.5,6,2,0
11,2023-10-27,Tottenham,Crystal Palace,1.75,4.5,2,1
11,2023-10-28,Arsenal,Sheffield United,1.13,19,5,0
11,2023-10-28,Bournemouth,Burnley,2.15,3.3,2,1
11,2023-10-28,Brentford,Chelsea,5.25,1.65,2,0
11,2023-10-29,Aston Villa,Luton,1.25,9.5,3,1
11,2023-10-29,Everton,West Ham,3.3,2.15,1,0
11,2023-10-29,Liverpool,Nott'm Forest,1.29,11,3,0
11,2023-10-29,Man City,Man United,1.67,5,3,0
12,2023-11-04,Brentford,West Ham,2.05,3.5,3,2
12,2023-11-04,Crystal Palace,Burnley,2.6,2.75,2,0
12,2023-11-04,Man City,Bournemouth,1.1,19,6,1
12,2023-11-04,Man United,Fulham,2.2,3.2,1,0
12,2023-11-04,Newcastle,Arsenal,2.8,2.6,1,0
12,2023-11-04,Sheffield United,Wolves,3.8,2,2,1
12,2023-11-05,Nott'm Forest,Aston Villa,4.2,1.85,2,0
12,2023-11-06,Chelsea,Tottenham,3.5,2,4,1
13,2023-11-11,Arsenal,Burnley,1.18,17,3,1
13,2023-11-11,Bournemouth,Newcastle,4.75,1.73,2,0
13,2023-11-11,Everton,Crystal Palace,3,2.45,3,2
13,2023-11-11,Man United,Luton,1.33,9.5,1,0
13,2023-11-11,Wolves,Tottenham,3.1,2.2,2,1
13,2023-11-12,Aston Villa,Fulham,1.57,5.5,3,1
13,2023-11-12,Liverpool,Brentford,1.4,6.5,3,0
13,2023-11-12,West Ham,Nott'm Forest,1.85,4,3,2
15,2023-11-25,Arsenal,Brentford,1.75,4.5,1,0
15,2023-11-25,Bournemouth,Sheffield United,2.2,3.2,3,1
15,2023-11-25,Brighton,Nott'm Forest,2.15,3.2,3,2
15,2023-11-25,Luton,Crystal Palace,3.6,2.1,2,1
15,2023-11-25,Newcastle,Chelsea,2.55,2.63,4,1
15,2023-11-25,West Ham,Burnley,2.05,3.4,2,1
15,2023-11-26,Aston Villa,Tottenham,2.8,2.3,2,1
15,2023-11-26,Man United,Everton,2.55,2.7,3,0
